dataset	kind_bio2rdf	uri_bio2rdf	uri_sio	rel
clinicaltrials	cls	http://bio2rdf.org/clinicaltrials_vocabulary:Drug	http://semanticscience.org/resource/SIO_010038	=
clinicaltrials	cls	http://bio2rdf.org/clinicaltrials_vocabulary:Reference	http://semanticscience.org/resource/SIO_000176	=
ctd	cls	http://bio2rdf.org/ctd_vocabulary:Pathway	http://semanticscience.org/resource/SIO_001107	=
ctd	cls	http://bio2rdf.org/ctd_vocabulary:Gene	http://semanticscience.org/resource/SIO_010035	=
ctd	cls	http://bio2rdf.org/ctd_vocabulary:Disease	http://semanticscience.org/resource/SIO_010299	=
dbsnp	cls	http://bio2rdf.org/dbsnp_vocabulary:Snp	http://semanticscience.org/resource/SIO_010027	=
drugbank	cls	http://bio2rdf.org/drugbank_vocabulary:Drug	http://semanticscience.org/resource/SIO_010038	=
drugbank	cls	http://bio2rdf.org/drugbank_vocabulary:Target	http://semanticscience.org/resource/SIO_010423	=
drugbank	cls	http://bio2rdf.org/drugbank_vocabulary:Enzyme	http://semanticscience.org/resource/SIO_010343	=
drugbank	cls	http://bio2rdf.org/drugbank_vocabulary:Toxicity	http://semanticscience.org/resource/SIO_001008	=
kegg	cls	http://bio2rdf.org/kegg_vocabulary:Disease	http://semanticscience.org/resource/SIO_010299	=
kegg	cls	http://bio2rdf.org/kegg_vocabulary:Enzyme	http://semanticscience.org/resource/SIO_010343	=
kegg	cls	http://bio2rdf.org/kegg_vocabulary:Reference	http://semanticscience.org/resource/SIO_000176	=
kegg	cls	http://bio2rdf.org/kegg_vocabulary:Metabolism	http://semanticscience.org/resource/SIO_010308	=
kegg	cls	http://bio2rdf.org/kegg_vocabulary:Drug	http://semanticscience.org/resource/SIO_010038	=
kegg	cls	http://bio2rdf.org/kegg_vocabulary:Target	http://semanticscience.org/resource/SIO_010423	=
kegg	cls	http://bio2rdf.org/kegg_vocabulary:Gene	http://semanticscience.org/resource/SIO_010035	=
kegg	cls	http://bio2rdf.org/kegg_vocabulary:Pathway	http://semanticscience.org/resource/SIO_001107	=
mgi	cls	http://bio2rdf.org/mgi_vocabulary:Genotype	http://semanticscience.org/resource/SIO_001079	=
mgi	cls	http://bio2rdf.org/mgi_vocabulary:Gene	http://semanticscience.org/resource/SIO_010035	=
omim	cls	http://bio2rdf.org/omim_vocabulary:Phenotype	http://semanticscience.org/resource/SIO_010056	=
omim	cls	http://bio2rdf.org/omim_vocabulary:Gene	http://semanticscience.org/resource/SIO_010035	=
orphanet	cls	http://bio2rdf.org/orphanet_vocabulary:Gene	http://semanticscience.org/resource/SIO_010035	=
pharmgkb	cls	http://bio2rdf.org/pharmgkb_vocabulary:Disease	http://semanticscience.org/resource/SIO_010299	=
