_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,please_choose_one_of_the_reasons_below,which_category_does_this_term_belong_to,gs,please_choose_one_of_the_reasons_below_gold,term,values,which_category_does_this_term_belong_to_gold
1229987731,false,finalized,3,5/4/2017 11:41:50,"","time
time
time", time,,incubation time (hours)  ,0,
1229987732,false,finalized,3,5/4/2017 11:35:53,"","time
time
time", time,,time in meiosis (hr)  ,0,
1229987733,false,finalized,3,5/4/2017 11:34:15,"","time
time
time", time,,time under flooding (h)  ,0,
1229987734,false,finalized,3,5/4/2017 11:26:59,"","disease
disease
disease", disease,,disease relapse (event)  ,1,
1229987735,false,finalized,3,5/4/2017 11:35:29,"","time
time
time", time,,time_to_relapse (years)  ,1.3,
1229987736,false,finalized,3,5/4/2017 11:40:54,"","time
time
time", time,,time pi (weeks)  ,3,
1229987737,false,finalized,7,5/4/2017 12:19:43,"","time
time
treatment
time
treatment
treatment
treatment", treatment,,treatment_time[hr]  ,6,
1229987738,false,finalized,7,5/4/2017 11:32:57,"","time
disease
time
disease
disease
time
time", disease,,disease free survival (months)  ,12,
1229987739,false,finalized,3,5/4/2017 11:38:15,"","time
time
time", disease,,disease free interval (months)  ,15,
1229987740,false,finalized,3,5/4/2017 11:40:10,"","time
time
time", time,,time to recurrence (years)  ,15.75,
1229987741,false,finalized,3,5/4/2017 11:24:42,"","time
time
time", age,,age (1#pfu_1) ,21,
1229987742,false,finalized,3,5/4/2017 11:39:10,"","time
time
time", time,,induction time (h)  ,24,
1229987743,false,finalized,7,5/4/2017 11:47:36,nofit,"dontknow
time
time
time
time
time
gendersex", age,,age (1#pvu_1) ,26,
1229987744,false,finalized,7,5/4/2017 11:50:53,"nofit
nofit","dontknow
time
time
time
dontknow
time
time", age,,sampling age ,38,
1229987745,false,finalized,3,5/4/2017 11:30:02,"","time
time
time", age,,gestational age at delivery ,40,
1229987746,false,finalized,3,5/4/2017 11:39:10,"","cell_line
cell_line
cell_line", cell line,,ips cell line  ,41,
1229987747,false,finalized,3,5/4/2017 11:44:31,"","time
time
time", age,,age (1#pfu_2) ,42,
1229987748,false,finalized,3,5/4/2017 11:42:32,"","treatment
treatment
treatment", treatment,,euthanasia day post treatment  ,42,
1229987749,false,finalized,3,5/4/2017 11:42:00,"","time
time
time", age,,average age (days after birth) ,47,
1229987750,false,finalized,3,5/4/2017 11:32:32,"","time
time
time", age,,age at rc ,51.33,
1229987751,false,finalized,7,5/4/2017 11:34:44,"","time
cell_line
cell_line
time
cell_line
time
cell_line", age,,cell line source age ,56,
1229987752,false,finalized,7,5/4/2017 11:46:15,"","time
time
cell_line
time
cell_line
time
time", cell line,,cell line source age  ,56,
1229987753,false,finalized,3,5/4/2017 11:44:09,"","time
time
time", age,,age (at specimen collection) ,67.73,
