_unit_id,_created_at,_updated_at,gs,term,values,please_choose_one_of_the_reasons_below_gold,please_choose_one_of_the_reasons_below_gold_reason,which_category_does_this_term_belong_to_gold,which_category_does_this_term_belong_to_gold_reason
1229987731,5/3/2017 13:01:58,5/4/2017 11:42:00, time,incubation time (hours)  ,0,,,,
1229987732,5/3/2017 13:01:58,5/4/2017 11:36:05, time,time in meiosis (hr)  ,0,,,,
1229987733,5/3/2017 13:01:58,5/4/2017 11:34:26, time,time under flooding (h)  ,0,,,,
1229987734,5/3/2017 13:01:58,5/4/2017 11:27:09, disease,disease relapse (event)  ,1,,,,
1229987735,5/3/2017 13:01:58,5/4/2017 11:35:40, time,time_to_relapse (years)  ,1.3,,,,
1229987736,5/3/2017 13:01:58,5/4/2017 11:41:00, time,time pi (weeks)  ,3,,,,
1229987737,5/3/2017 13:01:58,5/4/2017 12:19:54, treatment,treatment_time[hr]  ,6,,,,
1229987738,5/3/2017 13:01:58,5/4/2017 11:33:08, disease,disease free survival (months)  ,12,,,,
1229987739,5/3/2017 13:01:58,5/4/2017 11:38:26, disease,disease free interval (months)  ,15,,,,
1229987740,5/3/2017 13:01:58,5/4/2017 11:40:21, time,time to recurrence (years)  ,15.75,,,,
1229987741,5/3/2017 13:01:58,5/4/2017 11:24:53, age,age (1#pfu_1) ,21,,,,
1229987742,5/3/2017 13:01:58,5/4/2017 11:39:21, time,induction time (h)  ,24,,,,
1229987743,5/3/2017 13:01:58,5/4/2017 11:47:47, age,age (1#pvu_1) ,26,,,,
1229987744,5/3/2017 13:01:58,5/4/2017 11:51:03, age,sampling age ,38,,,,
1229987745,5/3/2017 13:01:58,5/4/2017 11:30:14, age,gestational age at delivery ,40,,,,
1229987746,5/3/2017 13:01:58,5/4/2017 11:39:20, cell line,ips cell line  ,41,,,,
1229987747,5/3/2017 13:01:58,5/4/2017 11:44:42, age,age (1#pfu_2) ,42,,,,
1229987748,5/3/2017 13:01:58,5/4/2017 11:42:43, treatment,euthanasia day post treatment  ,42,,,,
1229987749,5/3/2017 13:01:58,5/4/2017 11:42:10, age,average age (days after birth) ,47,,,,
1229987750,5/3/2017 13:01:58,5/4/2017 11:32:42, age,age at rc ,51.33,,,,
1229987751,5/3/2017 13:01:58,5/4/2017 11:34:54, age,cell line source age ,56,,,,
1229987752,5/3/2017 13:01:58,5/4/2017 11:46:26, cell line,cell line source age  ,56,,,,
1229987753,5/3/2017 13:01:58,5/4/2017 11:44:19, age,age (at specimen collection) ,67.73,,,,
1229987754,5/3/2017 13:01:58,5/4/2017 11:32:48, age,age_dx ,68,,,,
1229987755,5/3/2017 13:01:58,5/4/2017 11:24:34, time,time to hcc recurrence (days)  ,1097,,,,
1229987756,5/3/2017 13:01:58,5/4/2017 11:22:16, age,sac age (wks) ,12/16/17,,,,
1229987757,5/3/2017 13:01:58,5/4/2017 11:34:26, treatment,dht treatment  ," ""-"", na, 1 nm, 100nm, ",,,,
1229987758,5/3/2017 13:01:58,5/4/2017 11:38:39, time,collection time  ," less than 72 hour after symptoms, 3 to 7 dys after symptoms, 2 to 5 weeks after symptoms, 0 hr, 24 hr",,,,
1229987759,5/3/2017 13:01:58,5/4/2017 11:40:21, tissue,tissue harvest ,", 9/24/03. 9/17/03, embryonic day 6 (h&h stage 26 -28)",,,,
1229987760,5/3/2017 13:01:58,5/4/2017 11:37:58, treatment,treatment adchem  ,": adchemanthracycline, : adhtamoxifen, : no treatment",,,,
1229987761,5/3/2017 13:01:58,5/4/2017 11:34:10, strain,transgenic strain  ,": fsp1-egfp, mmtv-wnt-1, mmtv-wnt/ilk",,,,
1229987762,5/3/2017 13:01:58,5/4/2017 11:35:16, strain,strain 3235 = scc1-pk3  ,:his,,,,
1229987763,5/3/2017 13:01:58,5/4/2017 11:27:27, strain,strain 379 = scc1-ha6  ,:his3,,,,
1229987764,5/3/2017 13:01:58,5/4/2017 11:40:25, strain,strain by4741 ptc2  ,:kanmx4,,,,
1229987765,5/3/2017 13:01:58,5/4/2017 11:29:48, strain,strain by4741 ptc4  ,:kanmx4,,,,
1229987766,5/3/2017 13:01:58,5/4/2017 11:28:30, strain,strain yjdi381 gal1-taf1  ,:kanmx6 + taf1 ts2,,,,
1229987767,5/3/2017 13:01:58,5/4/2017 11:41:12, strain,strain by4741 ptc1  ,:nat1,,,,
1229987768,5/3/2017 13:01:58,5/4/2017 11:35:40, time,time.to.recurrence (years)  ,"., 2.16, 0.83, 2.08, 1.82",,,,
1229987769,5/3/2017 13:01:58,5/4/2017 11:29:44, time,pfs time  ,"., 288, 178, 388, 104",,,,
1229987770,5/3/2017 13:01:58,5/4/2017 11:38:43, time,time.to.ok  ,"., 4.99, 5.3, 5.16, 5.07",,,,
1229987771,5/3/2017 13:01:58,5/4/2017 11:33:00, treatment,treatment time (rhgaa)  ,"""--"", 00 weeks, 12 weeks, 52 weeks",,,,
1229987772,5/3/2017 13:01:58,5/4/2017 11:39:32, time,treatment time (rhgaa)  ,"""--"", 00 weeks, 12 weeks, 52 weeks",,,,
1229987773,5/3/2017 13:01:58,5/4/2017 11:33:01, age,age of diagnosis (year) ,"""--"", 34, 57, 32, 35",,,,
1229987774,5/3/2017 13:01:58,5/4/2017 11:27:01, time,evolution time (years)  ,"""--"", 7, 13, 3, 8",,,,
1229987775,5/3/2017 13:01:58,5/4/2017 11:41:29, time,time until recurrence (years)  ,"""-"", 2.4",,,,
1229987776,5/3/2017 13:01:58,5/4/2017 11:21:16, time,dsn time  ,"""-"", 5h",,,,
1229987777,5/3/2017 13:01:58,5/4/2017 11:32:59, treatment,ms treatment  ,"""-"", copaxone, betaferon, tysabri, rebif44",,,,
1229987778,5/3/2017 13:01:58,5/4/2017 11:22:01, age,age at onset (years) ,"""-"", na, 47, 48, 78",,,,
1229987779,5/3/2017 13:01:58,5/4/2017 11:19:22, disease,other diseases  ,"""-"", positive lead test",,,,
1229987780,5/3/2017 13:01:58,5/4/2017 11:37:45, disease,chronic diseases  ,"""-"", yes",,,,
1229987781,5/3/2017 13:01:58,5/4/2017 11:38:26, genotype,il4r genotype  ,"""-/-"", +/+",,,,
1229987782,5/3/2017 13:01:58,5/4/2017 11:38:45, time,time (weeks of treatment)  ,"""-4"", 11, 27, 23, 17",,,,
1229987783,5/3/2017 13:01:58,5/4/2017 11:36:58, time,timepoint (wks)  ,"""-5"", 12, 4",,,,
1229987784,5/3/2017 13:01:58,5/4/2017 11:34:13, age,age of onset ,"""=-n/a"", 20yr, -, 17 yr, 25 yr",,,,
1229987785,5/3/2017 13:01:58,5/4/2017 11:29:33, treatment,response to tzd treatment  ,"""=+ (responder)"", ""=- (non responder)""",,,,
1229987786,5/3/2017 13:01:58,5/4/2017 11:37:58, strain,strain [background]  ,"(n>6)b6.129, b6129 hybrid, (n>>2)b6.129, b6",,,,
1229987787,5/3/2017 13:01:58,5/4/2017 11:53:48, treatment,treatment amount [c]  ,"(not applicable), 50 ug/ml",,,,
1229987788,5/3/2017 13:01:58,5/4/2017 11:36:57, treatment,treatment [c]  ,"(not applicable), oxidized ldl",,,,
1229987789,5/3/2017 13:01:58,5/4/2017 11:40:54, disease,disease subtype  ,"[er+/pr+]her2-, refractory anemia (ra), refractory anemia with ringed sideroblasts (rars), refractory anemia with excess blasts 2 (raeb2), refractory anemia with excess blasts 1 (raeb1)",,,,
1229987790,5/3/2017 13:01:58,5/4/2017 11:46:21, age,age at diagnosis (months) ,"<18m, 1, >18m, 6, 4",,,,
1229987791,5/3/2017 13:01:58,5/4/2017 11:31:08, time,time quit (@ initial consult)  ,">10yrs, 6-10yrs, 0, 1-6mos, unk",,,,
1229987792,5/3/2017 13:01:58,5/4/2017 11:33:31, age,age of trees ,">30, 3, 9, 2, 1",,,,
1229987793,5/3/2017 13:01:58,5/4/2017 11:40:55, treatment,days after treatment  ,"0 d, 1 d, 23 d, 3, 7",,,,
1229987794,5/3/2017 13:01:58,5/4/2017 11:25:40, age,infant age ,0 day,,,,
1229987795,5/3/2017 13:01:58,5/4/2017 11:38:17, tissue,tissue collection time ,"0 h (control), 18 h post pgf2_ administration, 6 h post pgf2_ administration, 3 h post pgf2_ administration",,,,
1229987796,5/3/2017 13:01:58,5/4/2017 11:36:25, time,tissue collection time  ,"0 h (control), 6 h post pgf2� administration, 18 h post pgf2� administration, 3 h post pgf2� administration",,,,
1229987797,5/3/2017 13:01:58,5/4/2017 11:50:16, treatment,duration of il-6 treatment  ,"0 h, 12 h, 1 h, 6 h, 3 h",,,,
1229987798,5/3/2017 13:01:58,5/4/2017 11:36:57, time,time before sampling  ,"0 h, 24 h, 72 h",,,,
1229987799,5/3/2017 13:01:58,5/4/2017 11:21:04, time,time of exercise  ,"0 hour (pre), 6 hour, 24 hour, 3 hour",,,,
1229987800,5/3/2017 13:01:58,5/4/2017 11:38:34, time,time post-perforation  ,"0 hours, 12 hours, 144 hours, 36 hours, 24 hours",,,,
1229987801,5/3/2017 13:01:58,5/4/2017 11:34:49, time,post serum time point  ,"0 hours, 6 hours",,,,
1229987802,5/3/2017 13:01:58,5/4/2017 11:33:24, time,time differentiated  ,"0 hr, 24 hr, 72 hr",,,,
1229987803,5/3/2017 13:01:58,5/4/2017 11:35:52, time,time in fr light  ,"0 hr, 3 hr, 1 hr, 24 hr",,,,
1229987804,5/3/2017 13:01:58,5/4/2017 11:42:11, time,hcg treatment time  ,"0 hr, 3 hr, 14 hr, 9 hr",,,,
1229987805,5/3/2017 13:01:58,5/4/2017 11:21:16, treatment,hcg treatment time  ,"0 hr, 3 hr, 9 hr, 14 hr",,,,
1229987806,5/3/2017 13:01:58,5/4/2017 11:38:50, time,time in constant white light  ,"0 hrs, 8 hrs, 32 hrs, 4 hrs, 12 hrs",,,,
1229987807,5/3/2017 13:01:58,5/4/2017 11:19:57, time,time(absolute)  ,"0 months, 1 months",,,,
1229987808,5/3/2017 13:01:58,5/4/2017 12:18:35, time,post-exposure time  ,0 weeks,,,,
1229987809,5/3/2017 13:01:58,5/4/2017 11:22:17, gender,female gender ,"0, 1",,,,
1229987810,5/3/2017 13:01:58,5/4/2017 11:27:13, treatment,treatment response in vivo  ,"0, 1",,,,
1229987811,5/3/2017 13:01:58,5/4/2017 11:39:29, disease,code disease-specific survival  ,"0, 1",,,,
1229987812,5/3/2017 13:01:58,5/4/2017 11:41:22, disease,disease_free_survival_years  ,"0, 1, na, 10, 0.67",,,,
1229987813,5/3/2017 13:01:58,5/4/2017 11:39:48, time,time_to_metastasis (years)  ,"0, 1.6, 2.1, 2.4, 1.7",,,,
1229987814,5/3/2017 13:01:58,5/4/2017 11:53:48, treatment,treatment_dose_u/ml  ,"0, 1000",,,,
1229987815,5/3/2017 13:01:58,5/4/2017 11:29:49, time,zt time  ,"0, 12, 18, 6, 3",,,,
1229987816,5/3/2017 13:01:58,5/4/2017 11:32:19, time,time (minutes)  ,"0, 12, 6, 15, 20",,,,
1229987817,5/3/2017 13:01:58,5/4/2017 11:59:07, time,time (days post-infection)  ,"0, 2",,,,
1229987818,5/3/2017 13:01:58,5/4/2017 11:34:47, time,timepoint (weeks)  ,"0, 2",,,,
1229987819,5/3/2017 13:01:58,5/4/2017 11:38:14, age,ageing at 29 c in days ,"0, 2, 14",,,,
1229987820,5/3/2017 13:01:58,5/4/2017 11:40:29, treatment,rai stage before treatment  ,"0, 2, 4, 3, 1",,,,
1229987821,5/3/2017 13:01:58,5/4/2017 11:29:49, time,induction time (hours)  ,"0, 24",,,,
1229987822,5/3/2017 13:01:58,5/4/2017 11:32:57, disease,disease-free interval (months)  ,"0, 24, 23, 37, 40",,,,
1229987823,5/3/2017 13:01:58,5/4/2017 11:41:02, time,time after injury (hours)  ,"0, 288, 528, 3, 6",,,,
1229987824,5/3/2017 13:01:58,5/4/2017 11:27:16, time,time (d)  ,"0, 3, 10, 1, 7",,,,
1229987825,5/3/2017 13:01:58,5/4/2017 11:34:54, time,time in spo (hours)  ,"0, 3, 5",,,,
1229987826,5/3/2017 13:01:58,5/4/2017 11:29:16, time,time (h)  ,"0, 4, 6, 24, 8",,,,
1229987827,5/3/2017 13:01:58,5/4/2017 11:31:08, age,culture age (days) ,"0, 40, 20, 7, 42",,,,
1229987828,5/3/2017 13:01:58,5/4/2017 11:36:42, disease,disease free interval (days)  ,"0, 462, 122, 546, na",,,,
1229987829,5/3/2017 13:01:58,5/4/2017 11:35:19, age,age (year) ,"0, 68, 55, 59, 54",,,,
1229987830,5/3/2017 13:01:58,5/4/2017 11:34:26, time,time point (hours)  ,"0, 72, 2, 4, 12",,,,
1229987833,5/3/2017 13:01:59,5/4/2017 11:27:01, strain,strain dba2(%)  ,"0, 75, 100, 50",,,,
1229987834,5/3/2017 13:01:59,5/4/2017 11:25:46, time,time post surgery  ,"0, 8 weeks, 2 weeks, 4 weeks, 12h",,,,
1229987835,5/3/2017 13:01:59,5/4/2017 11:33:08, time,dfs time (months)  ,"0, 8.51, 54.7, 20.7, 91.93",,,,
1229987836,5/3/2017 13:01:59,5/4/2017 11:34:31, strain,strain sjl(%)  ,"0, 9, 37.5, 84, 69",,,,
1229987837,5/3/2017 13:01:59,5/4/2017 11:36:58, time,time since sample1 months  ,"0, 9.93, 21.41, 19.21, 35.74",,,,
1229987838,5/3/2017 13:01:59,5/4/2017 11:39:15, disease,duration of disease (month)  ,"0, unknown, 1",,,,
1229987839,5/3/2017 13:01:59,5/4/2017 11:30:23, time,time period of attachment  ,"0.25 h, 1 h, logarithmic aerobic growing cells",,,,
1229987840,5/3/2017 13:01:59,5/4/2017 11:38:10, time,time pre_post surgery (years)  ,"0.28, 0.15, 0.53, 0.25, 0.14",,,,
1229987841,5/3/2017 13:01:59,5/4/2017 11:40:22, age,donor age (years) ,"0.35, 54, 50, 82, 92",,,,
1229987842,5/3/2017 13:01:59,5/4/2017 11:25:40, time,time after injury  ,"0.5 h, 72 h, 7 d, 24 h, 28 d",,,,
1229987843,5/3/2017 13:01:59,5/4/2017 11:41:39, treatment,hours treatment  ,"0.5, 4, 0",,,,
1229987844,5/3/2017 13:01:59,5/4/2017 11:29:33, time,time (hours after pollination)  ,"0.5, 8, 3.5",,,,
1229987845,5/3/2017 13:01:59,5/4/2017 11:54:57, age,host age (yr) ,"0.50-0.66, 24, 26, 25, 55",,,,
1229987846,5/3/2017 13:01:59,5/4/2017 11:35:40, time,post-infection time points  ,"0.5hpi, 16hpi, 18hpi, 1hpi, 2hpi",,,,
1229987847,5/3/2017 13:01:59,5/4/2017 11:34:47, time,rna degradation time  ,"000 h, 315 h, 145 h, 230 h",,,,
